No,Bulan,Temperatur Rata-rata (oC),Temperatur Maksimal (oC),Temperatur Minimal (oC),Jumlah Curah Hujan (mm),Hari Hujan (hari),LPM/Sunshine Duration(%)
1,Januari,23.3,30.8,19.4,191,28,35
2,Februari,23.6,31.2,19.4,239.3,23,65
3,Maret,23.6,31.2,19,292,25,57
4,April,23.8,32.3,18.2,297.6,23,61
5,Mei,23.7,31.4,17.6,123.9,15,72
6,Juni,23.7,31,17.8,33.4,15,75
7,Juli,22.9,32,15.8,0.3,3,88
8,Agustus,23.3,31.4,16.2,38.9,7,80
9,September,23.7,32.8,16.4,40.8,8,76
10,Oktober,24.2,33.4,18.4,124.8,18,67
11,November,23.7,33,19,483.2,23,51
12,Desember,23.7,31.4,19,323.5,22,42